id,page,user,date,review
51,11,Anonymous,N/A,بہت اچھی طرح پیک ہوا اے سی وقت پر پہنچ گیا ہے ۔ تمام چیزیں مکمل اور معیاری ہیں۔ انسٹالیشن کا کام کچھ دن بعد آج شروع کیا ہے ۔اور چالو بھی آج ہی کیا ہے۔ اب ٹھیک ٹھیک چلتا رہے تو اچھا ہے۔ Color Family:Antique White 0
52,11,Anonymous,N/A,"I recently purchased this air conditioner about a week ago and I wanted to wait until I had a chance to thoroughly test it before providing an honest review. I must say, I am extremely satisfied with the build quality and cooling performance of this AC unit. It has definitely been worth the investment.  I usually don't take the time to post reviews, but I feel compelled to do so this time because I am genuinely impressed with my purchase. This AC has exceeded my expectations to such an extent that I wanted to share my satisfaction with others. It's rare for me to feel this strongly about a product, but I am truly satisfied with this purchase.  Disclaimer:I am unable to comment on its electricity consumption as it has only been a week since I started using it. Additionally, I reside in a flat in Karachi, where the normal room temperature at night is around 31°C. Considering these conditions, I am impressed that the AC is exceeding my expectations in terms of performance.  Color Family:Antique White 18"
53,11,Anonymous,N/A,Great product  Color Family:Antique White 1
54,12,Anonymous,N/A,"Excellent quality product. Build quality is even better than other brands in the market. Performance is awesome, both indoor and outdoor units noiseless. Color Family:Antique White 0"
55,12,Anonymous,N/A,Very Happy To Buy this Product. It's a value for money product. Totally Satisfied. Dawlance loa tu Baat Bani 😄 Color Family:Antique White 0
56,12,Anonymous,N/A,I ordered this product on Saturday and it's delivered very next day on Sunday with proper packing and all the stuff. I booked installation on Sunday and next day the team arrived and they are very professional. I am very impressed with the way everything handled.  Color Family:Antique White 0
57,12,Anonymous,N/A,"Set at 27/28, the consumptiom for a small room goes to 1.5 amp, which is perfect. Color Family:Antique White 2"
58,12,Anonymous,N/A,"my review is in few words, after using dawlance 0.75ton ac, it's marvellous performance, I ordered one more, but i request dawalance please also send your technician for free installation.  Color Family:Antique White 0"
59,13,Anonymous,N/A,The packing and the quality of product is amazing ! I am fully satisfied Alhamdulillah  Color Family:Antique White 1
60,13,Anonymous,N/A,Good ac ha nice product  Color Family:Antique White 1
61,13,Anonymous,N/A,"fantastic And fast delivery. Packing is also awosme. Product is also very Chill. Thank you so much Dawlance, thank you so much Daraz and TCS as well. I will buy 2 more same product.... Hope all Products will be same and on cheap prices.  Color Family:Antique White 0"
62,13,Anonymous,N/A,"The products are well packed and delivered to the door too. I recently bought this air conditioner in the last week of Ramadan. And the air conditioner after the company spent the Eid holidays Installation was done. I must say that I am so far satisfied with the build quality and cooling performance of this AC unit. Since my room is 10x8 and the temperature outside is 38C, our temperature will go up to 52C this coming summer. I hope this air conditioner will not let me down even in extreme heat. Color Family:Antique White 0"
63,13,Anonymous,N/A,Thank you seller. I purchased this AC in Dec 2023. Installed it now. I fulfilled my promise of giving good review as you sent Good product to me. Seller is good but the Dawlance technician who Installed the Ac was non professional. I had to corect his blunders afterwards. However the installation was free. Color Family:Antique White 0
64,14,Anonymous,N/A,Really Good for a small room. The outer does not make much noise even. Installation is also free.  Color Family:Antique White 0
65,14,Anonymous,N/A,"Cooling Power:I recently purchased the Dolence 0.75-ton AC, and it has truly exceeded my expectations. Its cooling performance is exceptional—it cools the room quickly even in the hottest weather. The inverter technology ensures very low power consumption, so it balances performance with energy savings. The design is sleek and compact, fitting easily into any room. Installation was smooth, and the customer service from Dolence was excellent. If you’re looking for an efficient, stylish, and budget-friendly AC, this model is definitely a top choice.💯👍👍  Color Family:Antique White 0"
66,14,Anonymous,N/A,Parce receive hogaya hai  fitting March ya April main krwaon ga insha Allah phir review doen ga 12.12 ki sale se voucher se faeda hotaya hai Thanks Dawlance and Daraz🥰  Color Family:Antique White 0
67,14,Anonymous,N/A,"After using this AC for 3 months, I am writing this review. It has been working perfectly and cools the room efficiently. I mostly use it in generator mode, locked at 2 amps. It consumes about 3 units of electricity over 10 hours, which is very economical. The only downside is that it does not have a self-cleaning (Clean) mode.  Color Family:Antique White 0"
68,14,Anonymous,N/A,"Very Happy with my recent purchase of Dawlance AC...Thanks daraz and Dawlance... Performance of the AC is great. Fully satisfied with delivery, service and price.  Color Family:Antique White 0"
69,15,Anonymous,N/A,"I had placed an order during the 11.11 sale, Alhamdulillah everything is fine. The very next day after it arrived, I called the Dawlance company to send their workers for the fitting. They came the next day and did the fitting perfectly. Everything is perfect, Alhamdulillah.    Color Family:Antique White 0"
70,15,Anonymous,N/A,"Energy Efficiency:Good Hope  Noise Level:Quite  Cooling Power:Satisfactory as per 0.75 Ton , Good price than market, chat agent quick response and reply upto entire satisfaction. Quick delivery on due date and fast free , gas incl. installation next day. overall very good online exoerirnce of buying from Dawlance thru Daraz, Better than buying from market. packaging found also good. Hope the product ll give longer lasting comfort.   Color Family:Antique White 1"
71,15,Anonymous,N/A,wow.. I am really happy and satisfied with my purchase from Daraz...♥️😇 I received my order before expected delivery time... daraz sale was super amazing...daraz team thanks a lot..I really appreciate your service.. one thing I would mention here dawlance inverter is working really great I have installed this AC by a private electrician as I kept calling dawlance helpline for two days for free ac installation and dawlance helpline didn't' any response ..then I had to have installed this inverter by a private election it costs a lot...over all it was a great experience with shopping on daraz♥️  Color Family:Antique White 0
72,15,Anonymous,N/A,"After using this AC for 3 months, I am writing this review. It has been working perfectly and cools the room efficiently. I mostly use it in generator mode, locked at 2 amps. It consumes about 3 units of electricity over 10 hours, which is very economical. The only downside is that it does not have a self-cleaning (Clean) mode.    Color Family:Antique White 0"
73,15,Anonymous,N/A,"The product is really good, fully satisfied but it takes almost 1.5 months to deliver .The rest is excellent 👍  Color Family:Antique White 0"
74,16,Anonymous,N/A,"I had placed an order during the 11.11 sale, Alhamdulillah everything is fine. The very next day after it arrived, I called the Dawlance company to send their workers for the fitting. They came the next day and did the fitting perfectly. Everything is perfect, Alhamdulillah.    Color Family:Antique White 0"
75,16,Anonymous,N/A,"Energy Efficiency:Good Hope  Noise Level:Quite  Cooling Power:Satisfactory as per 0.75 Ton , Good price than market, chat agent quick response and reply upto entire satisfaction. Quick delivery on due date and fast free , gas incl. installation next day. overall very good online exoerirnce of buying from Dawlance thru Daraz, Better than buying from market. packaging found also good. Hope the product ll give longer lasting comfort.   Color Family:Antique White 1"
76,16,Anonymous,N/A,wow.. I am really happy and satisfied with my purchase from Daraz...♥️😇 I received my order before expected delivery time... daraz sale was super amazing...daraz team thanks a lot..I really appreciate your service.. one thing I would mention here dawlance inverter is working really great I have installed this AC by a private electrician as I kept calling dawlance helpline for two days for free ac installation and dawlance helpline didn't' any response ..then I had to have installed this inverter by a private election it costs a lot...over all it was a great experience with shopping on daraz♥️  Color Family:Antique White 0
77,16,Anonymous,N/A,"After using this AC for 3 months, I am writing this review. It has been working perfectly and cools the room efficiently. I mostly use it in generator mode, locked at 2 amps. It consumes about 3 units of electricity over 10 hours, which is very economical. The only downside is that it does not have a self-cleaning (Clean) mode.    Color Family:Antique White 0"
78,16,Anonymous,N/A,"The product is really good, fully satisfied but it takes almost 1.5 months to deliver .The rest is excellent 👍  Color Family:Antique White 0"
